Client_ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Income Band,Loan_to_Deposit_Ratio,CC_Utilization,Savings_Loan_Ratio,Income_Loan_Ratio,High_Loan_Flag,Low_Income_Flag,High_CC_Usage_Flag,Defaulter
IND81288,Raymond Mills,24,34324,2019-05-06,Anthony Torres,American,Safety Technician IV,High,Jade,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,1,1,1,low,0.5224309846911883,0.00642755816025494,1.9141284252690784,0.09711492106476807,0,0,0,0
IND65833,Julia Spencer,23,42205,2001-12-10,Jonathan Hawkins,African,Software Consultant,High,Jade,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,2,1,2,mid,1.980747492881691,0.007786793745064918,0.5048599083163504,0.22810545419859618,1,0,0,0
IND47499,Stephen Murray,27,7314,2010-01-25,Anthony Berry,European,Help Desk Operator,High,Gold,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,3,2,3,mid,1.018689974128364,0.02688518427353066,0.981652930213672,0.16142554655449515,1,0,0,0
IND72498,Virginia Garza,40,34594,2019-03-28,Steve Diaz,American,Geologist II,Mid,Silver,356808.11,5473.15,2,4205.0,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0,4,4,1,4,high,0.11562676510032212,0.011785045996333867,8.648516543095761,2.944081277371526,0,0,0,0
IND60181,Melissa Sanders,46,41269,2012-07-20,Shawn Long,American,Assistant Professor,Mid,Platinum,130711.68,48077.6,1,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0,3,1,2,5,mid,2.149117451686682,0.028914707324435678,0.46530728053562503,0.1246889599655052,1,0,0,0
IND78532,Samuel Hudson,23,13204,2019-02-07,Douglas Tucker,American,Help Desk Technician,High,Silver,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,1,1,6,mid,0.46042728066250155,0.04351130086067198,2.1718956273285195,0.196588251092846,0,0,0,0
IND95683,Timothy Alexander,46,42910,2002-06-02,Douglas Tucker,Asian,Account Coordinator,High,Gold,57336.47,13929.16,1,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1,1,1,2,7,low,5.0706012675041405,0.016741525651273514,0.19721526465710967,0.27445576950281353,1,0,0,1
IND40785,Carl Martin,78,6127,2000-11-03,Steve Diaz,European,Automation Specialist II,Mid,Gold,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,2,2,8,low,7.2664164151497275,0.0702729168736059,0.13761941727814295,0.05709259743880048,1,0,0,1
IND13570,Philip Day,67,32656,2015-04-07,Bruce Butler,Asian,Software Test Engineer II,High,Silver,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,2,2,9,low,0.6467149009705073,0.0008949399365193674,1.5462764139959637,0.10934106122364567,0,0,0,0
IND53299,Jason Sims,51,28340,1995-11-20,Joe Price,European,Geologist III,Mid,Silver,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,3,1,10,low,0.1892152242631413,0.07399276856936081,5.284986893011634,1.0889829381173932,0,0,0,0
